,start_at,end_at,timeout,node,bottleneck,status,bottleneck_id
659,2020-12-14 03:33:25,2020-12-14 03:34:25,60,GW111,diskspace,FAILED,b1c72ea4-870f-4bb6-83b4-72fd0c95f2c7
660,2020-12-14 03:22:22,2020-12-14 03:23:22,60,GW111,cpu,COMPLETED,c98bb11d-2bcc-4d83-b69c-6ae884e90cda
661,2020-12-14 03:17:20,2020-12-14 03:18:20,60,SRV,network_packet_corrupt,COMPLETED,b821c433-bd2a-423f-a609-45fa62492b3f
662,2020-12-14 03:32:25,2020-12-14 03:33:55,90,GW111,network_packet_loss,COMPLETED,cc2d4539-0cee-4a6e-824d-034594a4bdbc
663,2020-12-14 03:31:24,2020-12-14 03:33:24,120,GW11,memory,COMPLETED,acd7f5eb-fd45-4caf-ba9f-1ff799629b53
664,2020-12-14 03:35:56,2020-12-14 03:36:56,60,GW1,network_packet_duplicate,COMPLETED,a81572a9-ad7f-428c-aff7-49245398cd51
665,2020-12-14 03:35:25,2020-12-14 03:36:55,90,GW11,cpu,COMPLETED,d14d7dfe-5f2b-4abd-aead-de2b621b3c85
666,2020-12-14 03:16:50,2020-12-14 03:17:50,60,GW11,network_delay,COMPLETED,8fde96d8-4ec2-44ad-a737-35b473eca99a
667,2020-12-14 03:34:55,2020-12-14 03:35:55,60,GW111,diskio,FAILED,4b67c513-2e10-427d-a103-04c0637b9336
668,2020-12-14 03:29:24,2020-12-14 03:30:24,60,SRV,diskio,COMPLETED,52832fa6-c0d4-4963-83c0-8a2b2fbdd358
669,2020-12-14 03:27:23,2020-12-14 03:29:23,120,GW1,memory,COMPLETED,7eba24af-f740-4f88-95a2-f92ff957473a
670,2020-12-14 03:21:52,2020-12-14 03:22:52,60,GW11,cpu,COMPLETED,ffce4743-f2a4-4c75-8011-0e6f7b74b22e
671,2020-12-14 03:26:23,2020-12-14 03:27:23,60,GW1,diskio,COMPLETED,2d20b051-dda1-454c-8734-dc31781342b7
672,2020-12-14 03:20:21,2020-12-14 03:21:51,90,GW111,diskspace,COMPLETED,6edb6cf2-82d8-477c-aa56-9985506c35c6
673,2020-12-14 03:29:54,2020-12-14 03:30:54,60,GW1,diskio,COMPLETED,ce9be6a6-d935-4459-8986-360385591fa2
674,2020-12-14 03:19:21,2020-12-14 03:20:51,90,GW1,network_packet_loss,FAILED,fa9cc4a9-5106-4049-b50f-a14fa3a521a9
675,2020-12-14 03:30:54,2020-12-14 03:31:54,60,SRV,memory,COMPLETED,b9c4fd27-5d52-4909-bce7-37edb3c9eb25
676,2020-12-14 03:24:52,2020-12-14 03:26:52,120,GW11,network_packet_duplicate,COMPLETED,3c0ce2aa-d076-4144-8c1a-6131a93f55ff
677,2020-12-14 03:32:55,2020-12-14 03:33:55,60,GW11,memory,FAILED,3658bf4c-cdac-4a7e-bfdb-0926c4c4b57d
678,2020-12-14 03:26:53,2020-12-14 03:28:23,90,GW1,diskspace,COMPLETED,9edc9e1f-6104-40ba-83ee-4fea92021147
679,2020-12-14 03:36:26,2020-12-14 03:37:56,90,GW1,diskspace,COMPLETED,504765d6-6f6d-4831-b0ff-0d8e94a53e84
